rank,lemma,pos,avg_rank,sources_count,rank_itwac,rank_opensubs,rank_wordfreq,count_itwac,count_opensubs,freq_wordfreq,gender,auxiliary,adj_class,nvdb_tier,notes,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
217,parola,noun,190.33,3,96,290,185,651963,84862,0.00046,f,,,FO,,289,22466,598,537,151,3991,644,86949
218,nessuno,pronoun,191.0,2,,158,224,,198499,0.000407,na,,,FO,,789,8336,798,395,558,1028,1816,30060
219,ricordare,verb,194.67,3,146,232,206,545509,118640,0.00043394100000000013,na,avere,,FO,,261,24323,1018,305,349,1630,467,115482
220,leggere,verb,200.33,3,195,229,177,482938,119199,0.000489091,na,avere,,FO,,1320,4278,2269,105,299,1934,1117,50266
221,vivere,verb,200.33,3,159,224,218,519797,123870,0.000412059,na,either,,FO,,704,9524,555,582,295,1960,386,135630
222,numero,noun,202.0,3,74,338,194,741638,70415,0.0004461,m,,,FO,,361,18291,315,1029,356,1612,161,255579
223,entrare,verb,204.67,3,288,164,162,394240,188377,0.0005272069999999999,na,essere,,FO,,251,25266,201,1546,170,3604,146,273216
224,poco,adverb,205.5,2,,295,116,,83257,0.0007388000000000001,na,,,FO,,369,17818,175,1706,61,8609,125,304384
225,poco,pronoun,205.5,2,,295,116,,0,0,na,,,FO,,369,0,175,0,61,0,125,0
226,famiglia,noun,206.67,3,196,226,198,482215,122465,0.0004401,f,,,FO,,812,7978,351,947,305,1909,105,354235
227,mentre,conjunction,207.5,2,,282,133,,87853,0.000631,na,,,FO,,368,17845,105,2432,200,2951,61,569819
228,tornare,verb,207.67,3,293,123,207,390772,273441,0.000432645,na,essere,,FO,,893,7067,882,353,181,3343,220,214746
229,forza,noun,208.67,3,180,212,234,501243,134414,0.000395,f,,,FO,,402,16788,247,1234,198,2984,262,188015
230,sotto,adverb,213.5,2,,252,175,,107778,0.000501,na,,,FO,,469,14619,269,1142,129,4636,133,293119
231,sotto,preposition,213.5,2,,252,175,,0,0,na,,,FO,,469,0,269,0,129,0,133,0
