rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
217,appena,254.33,3,230,227,306,135684,328191,0.000282,682,9908,715,429,340,1619,653,70594
218,nostra,254.33,3,270,258,235,116902,284801,0.00038,133,44076,590,541,305,1814,2499,21191
219,erano,259.00,3,303,304,170,101700,234901,0.000513,791,8378,376,843,115,5137,103,409093
220,storia,259.33,3,312,305,161,97342,233346,0.000537,971,6675,479,677,256,2208,91,452549
221,idea,260.00,3,239,232,309,130009,318008,0.000282,1264,4908,589,542,1181,475,864,56198
222,problema,260.00,3,262,264,254,119026,280993,0.000355,157,39661,203,1485,4741,115,1206,42853
223,nulla,260.67,3,269,262,251,117293,282464,0.000355,745,8973,1104,272,235,2488,1600,32786
224,devi,262.33,3,161,162,464,207895,494715,0.000191,32383,27,15200,7,6297,84,23322,1373
225,nei,264.33,3,346,348,99,83338,196286,0.000912,82,69151,62,3696,194,3035,66,589438
226,famiglia,264.67,3,278,266,250,113327,278567,0.000355,1515,3948,1660,174,406,1369,132,307206
227,mentre,265.33,3,329,326,141,87853,215199,0.000631,352,17845,99,2432,199,2951,70,569819
228,madre,266.67,3,201,198,401,158668,378752,0.000219,4685,883,3692,62,376,1489,357,129107
229,meno,268.00,3,319,310,175,93373,228159,0.000501,254,24849,122,2215,188,3166,378,121460
230,ragazzi,269.67,3,221,233,355,143228,312565,0.000245,7757,409,5555,35,3718,149,1403,37399
231,volte,270.00,3,290,295,225,106818,246806,0.000407,498,13302,433,756,258,2191,289,154108
232,avuto,271.67,3,261,265,289,119366,278926,0.000302,487,13490,553,572,457,1188,435,107184
233,giusto,272.33,3,208,209,400,155910,364493,0.000219,841,7829,1241,241,1449,386,4391,11642
234,fine,273.67,3,334,337,150,86358,203652,0.000575,146,41573,137,1959,247,2329,111,364328
235,donna,275.33,3,271,275,280,116773,269120,0.000316,1411,4263,2734,94,234,2499,423,110195
236,forza,275.67,3,254,256,317,122800,285831,0.000275,708,9561,392,814,268,2076,572,81935
237,piace,276.00,3,238,255,335,131518,288397,0.000263,6686,515,6378,28,2010,281,10332,4165
238,dato,278.33,3,299,289,247,102947,250039,0.000363,344,18590,312,990,280,1949,419,111510
239,fino,279.67,3,331,342,166,87029,200414,0.000525,554,12192,269,1092,252,2260,85,472032
240,avete,280.33,3,202,201,438,158581,376839,0.0002,1506,3972,9950,14,705,777,28836,998
241,sapere,280.33,3,234,225,382,133642,330884,0.000229,878,7461,1954,143,655,853,2272,23512
