rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3256	cutler	cutler	668	10274613	73.4101	4.2533	foreign_word	
3257	emil	emil	668	10275281	73.4148	4.2535	proper_noun	
3258	portargli	portargli	668	10275949	73.4196	4.2538	tokeniser_fixable	
3259	rimettersi	rimettersi	668	10276617	73.4244	4.2541	tokeniser_fixable	to recover, to entrust oneself, submit, rely on, to clear up
3260	goldman	goldman	667	10277284	73.4292	4.2544	residual	
3261	parks	parks	667	10277951	73.4339	4.2546	residual	
3262	viv	viv	667	10278618	73.4387	4.2549	numerals_acronyms	
3263	achille	achille	666	10279284	73.4434	4.2552	residual	Achilles
3264	avvertirti	avvertirti	666	10279950	73.4482	4.2555	tokeniser_fixable	
3265	nada	nada	666	10280616	73.4530	4.2558	proper_noun	
3266	princess	princess	666	10281282	73.4577	4.2560	foreign_word	
3267	quill	quill	666	10281948	73.4625	4.2563	proper_noun	
3268	sentirli	sentirli	666	10282614	73.4672	4.2566	tokeniser_fixable	
3269	spartaco	spartaco	666	10283280	73.4720	4.2569	residual	Spartacus, a male given name
3270	theodore	theodore	666	10283946	73.4768	4.2571	proper_noun	
3271	varsavia	varsavia	666	10284612	73.4815	4.2574	proper_noun	Warsaw
3272	annabelle	annabelle	665	10285277	73.4863	4.2577	proper_noun	
3273	blanche	blanche	665	10285942	73.4910	4.2580	proper_noun	
3274	borg	borg	665	10286607	73.4958	4.2582	foreign_word	Borg
3275	hodges	hodges	665	10287272	73.5005	4.2585	residual	
3276	juice	juice	665	10287937	73.5053	4.2588	foreign_word	
3277	krista	krista	665	10288602	73.5100	4.2591	proper_noun	
3278	sistemera	sistemera	665	10289267	73.5148	4.2593	residual	
3279	caraibi	caraibi	664	10289931	73.5195	4.2596	residual	Carribean
3280	kenzi	kenzi	664	10290595	73.5243	4.2599	residual	
3281	disneyland	disneyland	663	10291258	73.5290	4.2602	residual	
3282	jutsu	jutsu	663	10291921	73.5337	4.2604	residual	
3283	navid	navid	663	10292584	73.5385	4.2607	residual	
3284	supergirl	supergirl	663	10293247	73.5432	4.2610	residual	
3285	swanson	swanson	663	10293910	73.5479	4.2613	residual	
3286	tonight	tonight	663	10294573	73.5527	4.2615	foreign_word	
3287	wilkes	wilkes	663	10295236	73.5574	4.2618	residual	
3288	yeon	yeon	663	10295899	73.5622	4.2621	residual	
3289	gale	gale	662	10296561	73.5669	4.2624	proper_noun	
3290	dobbs	dobbs	661	10297222	73.5716	4.2626	residual	
3291	facendomi	facendomi	661	10297883	73.5763	4.2629	residual	
3292	identita'	identita'	661	10298544	73.5811	4.2632	residual	
3293	raggiungerla	raggiungerla	661	10299205	73.5858	4.2634	tokeniser_fixable	
3294	sifilide	sifilide	661	10299866	73.5905	4.2637	residual	syphilis
3295	zelda	zelda	661	10300527	73.5952	4.2640	proper_noun	
